input_text,target_text
高压电池# RH#  | 后侧下方 | 移走 | 冷却液排出容器,从高压电池# RH# 后侧下方移走冷却液排出容器。
紧固 | # RH# 内侧 | 高压电池回路软管 | 高压电池 | 夹子,紧固将# RH# 内侧高压电池回路软管固定到高压电池的夹子。
安装 | 高压电池后部滑板 | 请参阅滑板# -# 高压电池# -# 后（拆卸和更换）,安装高压电池后部滑板。请参阅滑板# -# 高压电池# -# 后（拆卸和更换）
执行 | 配电盒漏气测试 | 请参阅配电盒漏气测试,执行配电盒漏气测试。请参阅配电盒漏气测试
执行 | 冷却系统真空再充注 | 请参阅冷却系统（真空再充注）,执行冷却系统真空再充注。请参阅冷却系统（真空再充注）
高压接头 | 安装 | 高压电池,将高压接头安装到高压电池上。
安装 | 拧紧 | 高压接头 | 高压电池 | 螺栓,安装并手动拧紧将高压接头固定到高压电池的螺栓
拧紧 | 螺栓,拧紧螺栓至合适的扭矩。
高压连接器专用工具 | 安装 | 高压电池后驱动单元连接器,将高压连接器专用工具安装到高压电池后驱动单元连接器上。
高压电池后驱动单元连接器 | 拆下 | 高压连接器专用工具,从高压电池后驱动单元连接器上拆下高压连接器专用工具
安装 | 后驱动单元高压电气线束支架 | 高压电池 | 螺母,安装将后驱动单元高压电气线束支架固定到高压电池的螺母
紧固 | # RH# 内侧 | 高压电池回流软管 | 高压电池 | 夹子,紧固将# RH# 内侧高压电池回流软管固定到高压电池的夹子。
方形绝缘体端罩 | 安装 | 烟火电池隔离开关母排螺栓头,将方形绝缘体端罩安装到烟火电池隔离开关母排螺栓头上
圆形绝缘体端罩 | 安装 | 高压电池正极触点开关母排螺栓头,将圆形绝缘体端罩安装到高压电池正极触点开关母排螺栓头上
圆形绝缘体端罩 | 安装 | 高压电池负极触点开关母排螺栓头,将圆形绝缘体端罩安装到高压电池负极触点开关母排螺栓头上
抬高 | 高压控制器 | 保险丝检修口绝缘体 | 安装 | # RH# 配电盒母排盖板 | 紧固 | 绝缘体 | 盖板 | 夹子 | 降低 | 高压控制器,抬高高压控制器，将保险丝检修口绝缘体安装到# RH# 配电盒母排盖板上，紧固将绝缘体固定到盖板的夹子，然后降低高压控制器。
特殊绝缘体 | 安装 | 直流输入总成母排螺栓头,将特殊绝缘体安装到直流输入总成母排螺栓头上。
继续执行配电盒拆卸程序,继续执行配电盒拆卸程序
前车身控制器模块 | 置于 | 车内安装部位 | 模块 | 向前倾斜,将前车身控制器模块置于车内安装部位，然后将该模块向前倾斜。
接地带 | 安装 | 前车身控制器模块 | 下后部 | 安装 | 接地带 | 模块 | 螺栓,将接地带安装到前车身控制器模块的下后部，然后安装将接地带固定到该模块的螺栓。
接地带 | 安装 | 前车身控制器模块 | 右下侧 | 安装 | 接地带 | 模块 | 螺栓,将接地带安装到前车身控制器模块的右下侧，然后安装将接地带固定到该模块的螺栓。
接地带 | 安装 | 前车身控制器模块 | 后上部 | 安装 | 接地带 | 模块 | 螺栓,将接地带安装到前车身控制器模块的后上部，然后安装将接地带固定到该模块的螺栓。
母排 | 滑到 | 下部 | 螺柱 | 电气线束夹 | # ##x2###  | 固定 | 前车身控制器模块 | 底部,将母排滑到下部螺柱上，然后将电气线束夹# ##x2### 固定到前车身控制器模块的底部。
安装 | 前车身控制器模块 | 车身 | 螺栓 | # ##x3##,安装将前车身控制器模块固定到车身的螺栓# ##x3##。
安装 | 电源 | 接地电缆 | 前车身控制器模块 | 新螺母 | # ##x6###  | 新螺栓,安装将电源和接地电缆固定到前车身控制器模块的新螺母# ##x6### 和新螺栓。
电气线束 | 连接 | 前车身控制器模块连接器 | # ##x4##,将电气线束连接到前车身控制器模块连接器# ##x4##。
目视检查 | 电源 | 接地电缆 | 前车身控制器模块 | 相应通道 | 露出,目视检查电源和接地电缆在前车身控制器模块的相应通道中整齐地露出来，并且彼此平行。
前车身控制器模块盖板 | 安装 | 前车身控制器模块 | 安装 | 盖板 | 模块 | 螺栓 | # ##x9##,将前车身控制器模块盖板安装到前车身控制器模块上，然后安装将盖板固定到该模块的螺栓# ##x9##。
温度系统线束 | 连接 | 前车身控制器模块连接器,将温度系统线束连接到前车身控制器模块连接器。
紧固 | 吸入/液体管路 | 热膨胀阀 | 车身 | 夹子,紧固将吸入/液体管路固定到热膨胀阀附近车身的夹子。
温度系统线束盖板 | 安装 | 前车身控制器模块 | 安装 | 盖板 | 模块 | 螺栓,将温度系统线束盖板安装到前车身控制器模块上，然后安装将盖板固定到该模块的螺栓
安装 | # 12V# 电池支架 | 请参阅支架# -# 12V# 电池（后轮驱动）（拆卸和更换）,安装# 12V# 电池支架。请参阅支架# -# 12V# 电池（后轮驱动）（拆卸和更换）。
安装 | # 12V# 辅助电池 | 请参阅12V/低压电池（拆卸和更换）,安装# 12V# 辅助电池。请参阅12V/低压电池（拆卸和更换）。
安装 | # 12V# 电池固定带 | 请参阅带# -# 12V# 电池（拆卸和更换）,安装# 12V# 电池固定带。请参阅带# -# 12V# 电池（拆卸和更换）。
# Toolbox#  | 点击 | # Actions | 搜索字段 | 输入 | “VCFRONT | 点击 | “TESTRESET_VCFRONT | “Play”按钮 | 选择 | # Run,在# Toolbox# 中，点击# Actions，在搜索字段中输入“VCFRONT”，点击“TESTRESET_VCFRONT”旁边的“Play”按钮，然后选择# Run。
安装 | 前围篦板 | 请参阅面板# -# 前围篦网,安装前围篦板。请参阅面板# -# 前围篦网（拆卸和更换）。
安装 | # LH# 和# RH# 雨刮器臂 | 请参阅雨刮器臂（拆卸和更换）,安装# LH# 和# RH# 雨刮器臂。请参阅雨刮器臂（拆卸和更换）。
执行 | 请参阅：大灯# -# 调节# -# 北美（墙壁法）大灯# -# 调节# -# 北美（工具法）大灯# -# 调节# -# EMEA（墙壁法,执行大灯调节程序。请参阅：大灯# -# 调节# -# 北美（墙壁法）大灯# -# 调节# -# 北美（工具法）大灯# -# 调节# -# EMEA（墙壁法）大灯# -# 调节# -# EMEA（工具法）
安装 | 护罩 | # LH# 车身控制器模块 | 夹子,安装将护罩固定到# LH# 车身控制器模块的夹子。
# LH# 车身控制器模块 | 放置 | 仪表板支架 | 底部 | # W# 形夹 | 车身开口 | 对齐 | 向下滑动 | # LH# 车身控制器模块 | 车身,将# LH# 车身控制器模块放置在仪表板支架底部。将# W# 形夹与车身开口对齐，然后向下滑动，以便将# LH# 车身控制器模块固定到车身。
安装 | # LH# 车身控制器模块 | 车身 | 螺母,安装将# LH# 车身控制器模块固定到车身的新螺母。
安装 | 护罩排放软管 | # LH# 车身控制器模块锁片 | 夹子,安装将护罩排放软管固定到# LH# 车身控制器模块锁片的夹子。
# LH# 前车门线束夹 | 安装 | # LH# 车身控制器模块,将# LH# 前车门线束夹安装到# LH# 车身控制器模块。
# LH# 车身线束 | 移向 | # LH# 车身控制器模块 | 左侧 | 线束夹 | 固定 | # LH# 车身控制器模块,将# LH# 车身线束移向# LH# 车身控制器模块的左侧，然后将线束夹固定到# LH# 车身控制器模块。
连接 | 顶篷电气连接器,连接顶篷电气连接器。
# 2# 号车身电气连接器 | 连接 | # LH# 车身控制器模块,将# 2# 号车身电气连接器连接到# LH# 车身控制器模块。
# 1# 号车身电气连接器 | 连接 | # LH# 车身控制器模块,将# 1# 号车身电气连接器连接到# LH# 车身控制器模块。
# 3# 号车身电气连接器 | 连接 | # LH# 车身控制器模块,将# 3# 号车身电气连接器连接到# LH# 车身控制器模块。
前部 | 电线连接器 | 连接 | # LH# 车身控制器模块,将前部电线连接器连接到# LH# 车身控制器模块。
安装 | # 12V# 电源线 | # LH# 车身控制器模块 | 螺母,安装将# 12V# 电源线固定到# LH# 车身控制器模块的螺母。
直列电气线束连接器 | # X909#  | 连接 | # LH# 车身线束 | 夹 | # LH# 车身控制器模块,将直列电气线束连接器# X909# 连接到# LH# 车身线束，然后将其夹到# LH# 车身控制器模块。
暖通空调电气连接器 | 连接 | # LH# 车身控制器模块 | 接合 | 连接器锁,将暖通空调电气连接器连接到# LH# 车身控制器模块，然后接合连接器锁。
仪表板电气连接器 | 安装 | # LH# 车身控制器模块 | 接合 | 连接器锁,将仪表板电气连接器安装到# LH# 车身控制器模块上，然后接合连接器锁。
驾驶位座椅电气连接器 | 连接 | # LH# 车身控制器模块 | 接合 | 连接器锁,将驾驶位座椅电气连接器连接到# LH# 车身控制器模块，然后接合连接器锁。
# LH# 前车门电气连接器 | 连接 | # LH# 车身控制器模块 | 接合 | 连接器锁,将# LH# 前车门电气连接器连接到# LH# 车身控制器模块，然后接合连接器锁。
连接 | # LH# 前车门电气连接器 | # LH# 车身控制器模块 | 夹子,连接将# LH# 前车门电气连接器固定到# LH# 车身控制器模块的夹子。
安装 | # LH# 脚部空间进气槽 | 请参阅风管# -# 脚部空间# -# LH | 拆卸和更换,安装# LH# 脚部空间进气槽。请参阅风管# -# 脚部空间# -# LH（拆卸和更换）。
安装 | 驾驶位膝部气囊 | 请参阅气囊# -# 膝部# -# 驾驶位（拆卸和更换）,安装驾驶位膝部气囊。请参阅气囊# -# 膝部# -# 驾驶位（拆卸和更换）。
安装 | 驾驶位脚部空间罩 | 请参阅罩# -# 脚部空间# -# 驾驶位（拆卸和更换）,安装驾驶位脚部空间罩。请参阅罩# -# 脚部空间# -# 驾驶位（拆卸和更换）。
安装 | # LH# A# 柱下部饰板 | 请参阅饰板# -# A# 柱# -# 下部# -# LH,安装# LH# A# 柱下部饰板。请参阅饰板# -# A# 柱# -# 下部# -# LH（拆卸和更换）。
安装 | # A# 柱# LH# 中部饰板 | 请参阅饰板# -# A# 柱# -# 中间# -# LH,安装# A# 柱# LH# 中部饰板。请参阅饰板# -# A# 柱# -# 中间# -# LH（拆卸和更换）。
安装 | # LH# 仪表板端盖 | 请参阅端盖# -# 仪表板# -# LH | 拆卸和更换,安装# LH# 仪表板端盖。请参阅端盖# -# 仪表板# -# LH（拆卸和更换）。
使用 | # Toolbox# 3.0#  | 车辆 | 相连,使用# Toolbox# 3.0# 与车辆相连。
执行 | 服务 | CAN#  | 重新部署 | 请参阅固件重新部署,执行服务# CAN# 重新部署。请参阅固件重新部署。
副驾位座椅 | 就座 | 关闭 | # RH# 前车门,在副驾位座椅就座，关闭# RH# 前车门。
# Toolbox#  | 点击 | Actions选项卡 | 搜索字段 | 输入 | “PROC_VCLEFT,在# Toolbox# 中，点击Actions选项卡，然后在搜索字段中输入“PROC_VCLEFT”。
点击 | PROC_VCLEFT_X-POST-REPLACEMENT-PROCEDURE | 点击 | Run,点击PROC_VCLEFT_X-POST-REPLACEMENT-PROCEDURE，然后点击Run，等待例程完成。
护罩 | 放置 | 车辆 | 相应位置,将护罩单独放置在车辆的相应位置上。
# RH# 车身控制器模块 | 调整 | 仪表板支架 | 底部 | 安装 | 护罩 | 模块 | # 2# 个夹子,将# RH# 车身控制器模块调整至仪表板支架底部，然后安装将护罩固定到模块的# 2# 个夹子。
# W# 型夹 | 车身开口 | 对齐 | 向下滑动 | # RH# 车身控制器 | 固定 | 车身,将# W# 型夹与车身开口对齐，然后向下滑动，以便将# RH# 车身控制器固定到车身。
安装 | # RH# 车身控制器模块 | 车辆 | 螺母,安装将# RH# 车身控制器模块固定到车辆的新螺母。
安装 | 线束 | # RH# 车身控制器 | 夹子,安装将线束固定到# RH# 车身控制器的夹子。
# RH# 车身线束 | 上移 | # RH# 车身控制器 | 右侧 | 安装 | 线束夹 | # ##x4### 固定 | # RH# 车身控制器,将# RH# 车身线束上移至# RH# 车身控制器的右侧，然后安装，将线束夹# ##x4### 固定到# RH# 车身控制器。
安装 | # RH# 车身线束 | # A# 柱下部区域 | 夹子,安装将# RH# 车身线束固定到# A# 柱下部区域的夹子。
连接 | # RH# A# 柱夹子 | 线束,连接# RH# A# 柱夹子处的线束。
车身# 3# 电气连接器 | 连接 | # RH# 车身控制器模块,将车身# 3# 电气连接器连接到# RH# 车身控制器模块。
车身# 1# 电气连接器 | 连接 | # RH# 车身控制器模块,将车身# 1# 电气连接器连接到# RH# 车身控制器模块。
车身# 2# 电气连接器 | 连接 | # RH# 车身控制器模块,将车身# 2# 电气连接器连接到# RH# 车身控制器模块。
线束夹 | 安装 | 仪表板支架,将线束夹# ##x2### 安装到仪表板支架上。
直流-直流正极电缆 | 安装 | # RH# 车身控制器模块,将直流-直流正极电缆安装到# RH# 车身控制器模块上。
安装 | 正极电缆 | # RH# 车身控制器模块 | 新螺母 | # ##x2##,安装将正极电缆固定到# RH# 车身控制器模块上的新螺母# ##x2##
连接 | 直列式电气连接器 | 固定 | # RH# 车身控制器模块,连接直列式电气连接器，然后固定到# RH# 车身控制器模块上。
前侧 | 线束电气连接器 | 连接 | # RH# 车身控制器模块,将前侧线束电气连接器连接到# RH# 车身控制器模块
暖通空调电气连接器 | 连接 | # RH# 车身控制器模块,将暖通空调电气连接器连接到# RH# 车身控制器模块。
仪表板电气连接器 | 连接 | # RH# 车身控制器模块,将仪表板电气连接器连接到# RH# 车身控制器模块。
仪表板线束同轴电缆 | 连接 | # RH# 车身控制器模块,将仪表板线束同轴电缆连接到# RH# 车身控制器模块。
副驾位座椅电气连接器 | 连接 | # RH# 车身控制器模块,将副驾位座椅电气连接器连接到# RH# 车身控制器模块。
# RH# 前车门电气连接器 | 连接 | # RH# 车身控制器模块,将# RH# 前车门电气连接器连接到# RH# 车身控制器模块。
# RH# 前车门线缆连接器 | 连接 | # RH# 车身控制器模块,将# RH# 前车门线缆连接器连接到# RH# 车身控制器模块。
安装 | # RH# 毡毯定位器支架 | 车辆 | 螺母,安装将# RH# 毡毯定位器支架固定到车辆的螺母。
# RH# 前毡毯 | 向后折叠,将# RH# 前毡毯向后折叠至原始位置。
安装 | # RH# 前毡毯 | 腿部区域 | 夹子,安装将# RH# 前毡毯固定到腿部区域的夹子。
安装 | 中控台# RH# 板毡毯 | 请参阅侧板# -# 中控台# -# LH | 拆卸和更换,安装中控台# RH# 板毡毯。请参阅侧板# -# 中控台# -# LH（拆卸和更换）。
安装 | # RH# 前侧 | 脚垫,安装# RH# 前侧脚垫
安装 | 手套箱 | 请参阅手套箱# -# 有膝部气囊（拆卸和更换）,安装手套箱。请参阅手套箱# -# 有膝部气囊（拆卸和更换）。
安装 | 副驾位膝部气囊 | 请参阅气囊# -# 膝部# -# 副驾位 | 拆卸和更换,安装副驾位膝部气囊。请参阅气囊# -# 膝部# -# 副驾位（拆卸和更换）。
安装 | 副驾位脚部空间罩 | 请参阅罩# -# 脚部空间# -# 副驾位（左侧驾驶）（拆卸和更换）,安装副驾位脚部空间罩。请参阅罩# -# 脚部空间# -# 副驾位（左侧驾驶）（拆卸和更换）。
安装 | # A# 柱# RH# 下部饰板 | 请参阅饰板# -# A# 柱# -# 下部# -# LH,安装# A# 柱# RH# 下部饰板。请参阅饰板# -# A# 柱# -# 下部# -# LH（拆卸和更换）。
安装 | # RH# A# 柱中部饰板 | 请参阅饰板# -# A# 柱# -# 中间# -# LH,安装# RH# A# 柱中部饰板。请参阅饰板# -# A# 柱# -# 中间# -# LH（拆卸和更换）。
安装 | 主仪表板饰板 | 请参阅装饰饰件# -# 仪表板# -# 主（拆卸和更换）,安装主仪表板饰板。请参阅装饰饰件# -# 仪表板# -# 主（拆卸和更换）。
安装 | # RH# 气流端盖 | 请参阅端盖# -# 气波# -# LH | 拆卸和更换,安装# RH# 气流端盖。请参阅端盖# -# 气波# -# LH（拆卸和更换）。
安装 | # RH# 仪表板端盖 | 请参阅端盖# -# 仪表板# -# LH | 拆卸和更换,安装# RH# 仪表板端盖。请参阅端盖# -# 仪表板# -# LH（拆卸和更换）。
安装 | # LH# 气流端盖 | 请参阅端盖# -# 气波# -# LH | 拆卸和更换,安装# LH# 气流端盖。请参阅端盖# -# 气波# -# LH（拆卸和更换）。
# Toolbox#  | 点击 | # Actions | 搜索字段 | 输入 | “PROC_VCRIGHT | 点击 | “PROC_VCRIGHT_X-POST-REPLACEMENT-PROCEDURE | 旁边 | “Play”按钮 | 选择 | # Run,在# Toolbox# 中，点击# Actions，在搜索字段中输入“PROC_VCRIGHT”，点击“PROC_VCRIGHT_X-POST-REPLACEMENT-PROCEDURE”旁边的“Play”按钮，然后选择# Run。
传感器 | 安装 | 后饰板 | 拧紧 | 后侧 | 驻车距离传感器 | 后饰板 | 夹子,将传感器安装到后饰板，拧紧将后侧驻车距离传感器固定到后饰板的夹子
连接 | 电气线束 | 后侧 | 驻车距离传感器连接器,连接电气线束与后侧驻车距离传感器连接器。
安装 | 后饰板 | 请参阅饰板# -# 后部,安装后饰板。请参阅饰板# -# 后部（拆卸和安装）
"""请参阅零件目录以确定安装在车辆上的驻车传感器的类型 | 如果车辆配备# Tesla# USS | 请按所列顺序运行以下Toolbox# 3.0例程","""请参阅零件目录以确定安装在车辆上的驻车传感器的类型。如果车辆配备# Tesla# USS，请按所列顺序运行以下Toolbox# 3.0例程："
TEST | RESET_PARK,1.TEST-RESET_PARK
PROC_USM_REAR_PROGRAM-USS-ADDRESSES,2.PROC_USM_REAR_PROGRAM-USS-ADDRESSES"
传感器 | 安装 | 前饰板 | 拧紧 | 后侧 | 驻车距离传感器 | 后饰板 | 夹子,将传感器安装到前饰板，拧紧将后侧驻车距离传感器固定到后饰板的夹子
传感器 | 安装 | 前饰板 | 拧紧 | 后侧 | 驻车距离传感器 | 前饰板 | 夹子,将传感器安装到前饰板，拧紧将后侧驻车距离传感器固定到前饰板的夹子
连接 | 电气线束 | 驻车传感器,连接电气线束与驻车传感器
安装 | 驻车传感器 | 前轮拱内衬 | 请参阅轮拱内衬# -# 前# -# LH | 拆卸和更换,安装与所维修的驻车传感器距离最近的前轮拱内衬。请参阅轮拱内衬# -# 前# -# LH（拆卸和更换）
降下 | 车辆,降下车辆
安装 | 前部外侧 | 驻车传感器 | 前车轮 | 请参阅轮毂（拆卸和安装）,安装与所维修的前部外侧驻车传感器距离最近的前车轮。请参阅轮毂（拆卸和安装）
紧固 | 前侧 | 驻车距离传感器 | 前饰板 | 锁片 | 饰板 | 拆下 | 传感器,紧固将前侧驻车距离传感器固定到前饰板的锁片# ##x2##，然后从饰板上拆下传感器。
安装 | 前备箱储物单元 | 请参阅前备箱储物单元（拆卸和更换）,安装前备箱储物单元。请参阅前备箱储物单元（拆卸和更换）
安装 | 驾驶室进气槽 | 请参阅风管# -# 驾驶室进气（拆卸和更换）,安装驾驶室进气槽。请参阅风管# -# 驾驶室进气（拆卸和更换）
安装 | 前备箱后部挡板 | 请参阅前备箱挡板# -# 后,安装前备箱后部挡板。请参阅前备箱挡板# -# 后（拆卸和更换）
安装 | 行李箱外部释放开关 | 请参阅开关# -# 外部释放# -# 行李箱 | 拆卸和更换,安装行李箱外部释放开关。请参阅开关# -# 外部释放# -# 行李箱（拆卸和更换）
安装 | 行李箱饰板 | 请参阅饰板# -# 箱盖# -# 行李箱,安装行李箱饰板。请参阅饰板# -# 箱盖# -# 行李箱（拆卸和更换）
装有 | # Toolbox# 3#  | 笔记本电脑 | 相连,将装有# Toolbox# 3# 的笔记本电脑与车辆相连。
# Tools#  | 搜索 | DAS# Image# Capture,在# Tools# 中，搜索“DAS# Image# Capture”。
点击 | # Clear# Calibration# Backup# 按钮,点击# Clear# Calibration# Backup# 按钮。
安装 | 摄像头 | 摄像头盖 | 安装 | 电气线束 | 摄像头盖 | 紧固 | 乘员摄像头 | 摄像头上盖 | 锁片 | # ##x3##,安装摄像头到摄像头盖，安装电气线束到摄像头盖，紧固将乘员摄像头固定到摄像头上盖的锁片# ##x3##
摄像头盖 | 安装 | 连接 | 乘员摄像头连接器 | 安装 | 摄像头上盖 | 夹子,将摄像头盖安装到车上，连接乘员摄像头连接器，安装固定摄像头上盖的夹子
安装 | 后视镜 | 请参阅镜# -# 后视（拆卸和更换）,安装后视镜。请参阅镜# -# 后视（拆卸和更换）
超细纤维布 | 玻璃清洁剂 | 清洁 | 内侧 | 挡风玻璃摄像头可视区 | 待挡风玻璃完全干燥之后再继续,用干净的超细纤维布和玻璃清洁剂清洁内侧挡风玻璃摄像头可视区。待挡风玻璃完全干燥之后再继续。
前视摄像头 | 安装 | 挡风玻璃支架 | 电气线束 | 连接 | 摄像头连接器,将前视摄像头安装到挡风玻璃支架上，然后将电气线束连接到摄像头连接器。
底座板 | 安装 | 前视摄像头 | 挡风玻璃支架 | 安装 | 底座板 | 摄像头 | 支架 | 螺钉 | # ##x6##,将底座板安装到前视摄像头和挡风玻璃支架上，然后安装将底座板固定到摄像头和支架的螺钉# ##x6##。
安装 | 全景摄像头盖 | 请参阅盖# -# 全景摄像头（拆卸和更换）,安装全景摄像头盖。请参阅盖# -# 全景摄像头（拆卸和更换）
摄像头上盖 | 放到 | 挡风玻璃支架 | 电气线束 | 连接 | 盖内侧 | 乘员摄像头,将摄像头上盖放到挡风玻璃支架上，然后将电气线束连接到盖内侧的乘员摄像头。
紧固 | 摄像头上盖 | 挡风玻璃支架 | 夹子,紧固将摄像头上盖固定到挡风玻璃支架的夹子
调节 | 前置摄像头 | 请参阅摄像头# -# 前置（倾角验证）,调节前置摄像头。请参阅摄像头# -# 前置（倾角验证）
前雷达传感器 | 安装 | 支架,"""将前雷达传感器安装到支架中。"
前雷达传感器线束 | 连接 | 前端 | 支架夹,将前雷达传感器线束连接到前端支架夹
安装 | 前饰板 | 请参阅饰板# -# 前部,安装前饰板。请参阅饰板# -# 前部（拆卸和安装）
安装 | 车辆固件 | 请参阅软件重新安装,重新安装车辆固件。请参阅软件重新安装
执行 | 前雷达传感器校准程序 | 请参阅传感器# -# 雷达# -# 前（校准）,执行前雷达传感器校准程序。请参阅传感器# -# 雷达# -# 前（校准）
方向盘控制电子控制单元 | 安装 | 环绕五金件 | 安装 | 电子控制单元 | 环绕五金件 | 螺钉 | # ##x2##,将方向盘控制电子控制单元安装到环绕五金件中，然后安装将该电子控制单元固定到环绕五金件的螺钉# ##x2##。
环绕五金件 | 安装 | 方向盘 | 安装 | 环绕五金件 | 方向盘 | 螺钉 | # ##x4##,将环绕五金件安装到方向盘中，然后安装将环绕五金件固定到方向盘的螺钉# ##x4##。
电气线束 | 安装 | 方向盘 | 电气线束 | 连接 | 下部 | 连接器,将电气线束安装到方向盘中，然后将电气线束连接到下部连接器。
"""将喇叭总成 | 移至 | 中央 | 拧紧 | 喇叭总成 | 夹子","""将喇叭总成移至中央，然后拧紧固定喇叭总成的夹子。"
电气线束 | 连接 | 方向盘# RH# 开关连接器,将电气线束连接到方向盘# RH# 开关连接器。
电气线束 | 连接 | 方向盘# LH# 开关连接器,将电气线束连接到方向盘# LH# 开关连接器。
方向盘电气线束 | 连接 | 连接器,"""将方向盘电气线束连接到连接器。"
安装 | 驾驶位气囊 | 请参阅气囊# -# 驾驶位（拆卸和更换）,安装驾驶位气囊。请参阅气囊# -# 驾驶位（拆卸和更换）
# Toolbox#  | 点击 | Actions | 搜索字段 | 输入 | “SCCM | 点击 | “PING-TP_SCCM | “Play | 选择 | Run,在# Toolbox# 中点击“Actions”，在搜索字段中输入“SCCM”，点击“PING-TP_SCCM”旁边的“Play”，然后选择Run。
点击 | Actions | 搜索字段 | 输入 | “VCLEFT | 点击 | TEST-SELF_# VCLEFT_X_SWC | 旁边 | “Play | 选择 | Run,点击“Actions”，在搜索字段中输入“VCLEFT”，点击“TEST-SELF_# VCLEFT_X_SWC”旁边的“Play”，然后选择Run。
点击 | Actions | 搜索字段 | 输入 | “TEST-PYRO | 点击 | “TEST-PYRO_RCM_X_DAB-STAGE-1 | “Play | 选择 | # Run,点击“Actions”，在搜索字段中输入“TEST-PYRO”，点击“TEST-PYRO_RCM_X_DAB-STAGE-1”旁边的“Play”，然后选择# Run。
点击 | Actions | 搜索字段 | 输入 | “TEST-PYRO | 点击 | “TEST-PYRO_RCM_X_DAB-STAGE-2 | “Play | 选择 | Run,点击“Actions”，在搜索字段中输入“TEST-PYRO”，点击“TEST-PYRO_RCM_X_DAB-STAGE-2”旁边的“Play”，然后选择Run。
安装 | 第二排下部 | 座垫 | 请参阅座垫# -# 下# -# 第二排,安装第二排下部座垫。请参阅座垫# -# 下# -# 第二排（拆卸和更换）
支架 | 安装 | # HomeLink# 发射机模块,在支架上安装# HomeLink# 发射机模块。
电气连接器 | 连接 | # HomeLink# 发射器模块,将电气连接器连接到# HomeLink# 发射器模块
连接 | # 12V# 电源 | 请参阅12V/低压电源（断开和连接）,重新连接# 12V# 电源。请参阅12V/低压电源（断开和连接）
# Toolbox#  | 点击 | # Actions# 选项卡 | 搜索字段 | 输入 | “HOMELINK | 点击 | # TEST-SELF_# VCFRONT_X_HOMELINK | 选择 | # Run,在# Toolbox# 中，点击# Actions# 选项卡，在搜索字段中输入“HOMELINK”，点击# TEST-SELF_# VCFRONT_X_HOMELINK，然后选择# Run。
拧紧 | 高压控制器低压连接器 | 任一侧 | 拧紧 | # (2x) | # 12.5# Nm# (9.2# ft-lbs,拧紧高压控制器低压连接器任一侧的拧紧# (2x)。# 12.5# Nm# (9.2# ft-lbs)
逆时针 | 拧紧 | 配电盒罩 | 可调组件# (x4),逆时针# 手动拧紧配电盒罩上的可调组件# (x4)，以便完全入位。#
安装 | 高压电池盖板垫片 | 请参阅# 密封件# –# 外围# -# 高压电池（拆卸和更换）# ,安装新高压电池盖板垫片。请参阅# 密封件# –# 外围# -# 高压电池（拆卸和更换）# 。
检查 | 高压电池顶罩 | # NVH# 垫 | # 如果高压电池已配备# NVH# 垫 | 继续下一步 | # 如果高压电池无# NVH# 垫 | 安装 | # NVH# 垫 | 请参阅# 噪声、振动和粗糙度垫块# -# 高压电池（安装）# ,检查高压电池顶罩是否配有# NVH# 垫。# 如果高压电池已配备# NVH# 垫，则继续下一步。# 如果高压电池无# NVH# 垫，请安装# NVH# 垫。请参阅# 噪声、振动和粗糙度垫块# -# 高压电池（安装）#
安装 | 高压电池校准杆 | 两根 | 安装 | 车辆 | 前侧 | 另外两根 | 安装 | 配电盒 | 旁边 | 高压电池,安装高压电池校准杆；两根安装在车辆前侧，另外两根安装在配电盒旁边的高压电池处。
降到 | 高压电池 | 孔位 | 校准杆 | 对齐,将车辆降到高压电池处，并在助手的帮助下，将孔位与校准杆对齐
拧紧 | 高压电池 | 车身 | # LH#  | # RH# 螺栓,手动拧紧将高压电池连接到车身的# LH# 和# RH# 螺栓# ####16####
拧紧 | 高压电池 | 前部 | 车辆 | 螺栓,手动拧紧将高压电池前部固定到车辆的螺栓# ####x4####
拆下 | 高压电池校准杆,拆下高压电池校准杆。
拧紧 | 车辆 | 螺栓,用手拧紧将高压电池# LH# 和# RH# 支撑架固定到车辆的螺栓# ####x8####
拧紧 | 高压电池中梁滑板盖 | 高压电池 | 中间部分 | 螺栓,用手拧紧用于穿过高压电池中梁滑板盖固定高压电池中间部分的螺栓# ####x4####
安装 | 拧紧 | # LH# 和# RH# LH#  | # RH# 剪力板 | 车身 | 小号螺栓,安装并用手拧紧将# LH# 和# RH# LH# 和# RH# 剪力板固定到车身的小号螺栓
后驱动单元 | 高压电池线束 | 高压电池后驱动单元连接器 | 连接 | 高压电池接头,用双手将后驱动单元至高压电池线束的高压电池后驱动单元连接器牢固连接到高压电池接头上。#
高压电池后驱动单元连接器 | 按到 | 高压电池接头 | 把手 | 降至 | 最低处,将高压电池后驱动单元连接器按到高压电池接头上，同时将把手降至最低处。#
安装 | 后驱动单元高压电气线束支架 | 高压电池 | 螺母,安装将后驱动单元高压电气线束支架固定到高压电池的螺母。#
高压电池# RH#  | 后下方 | 放置 | 冷却液排出容器,在高压电池# RH# 后下方放置冷却液排出容器。
冷却液出口软管 | 动力总成回路软管 | 拆下 | 螺塞 | 连接 | 外螺纹接头 | 内螺纹接头 | 扣紧 | 夹子,从冷却液出口软管和动力总成回路软管上拆下螺塞，立即连接外螺纹接头和内螺纹接头，然后扣紧夹子。#
